lab,trial_type,trial_num,lang1,age_days,subid_unique,method,trial_error,session_error,looking_time,total_trial_time
weltentdeckerzurich,IDS,2.0,Swissgerman,392.0,weltentdeckerzurich:mb13745,eyetracking,noerror,0.0,2.463853240590168,2.6210388241125804
infantcoglablouisville,TRAIN,-2.0,English,311.0,infantcoglablouisville:237603,singlescreen,noerror,0.0,2.3208178612551054,2.3208178612551054
jmucdl,ADS,3.0,English,317.0,jmucdl:40023,eyetracking,error,0.0,-11.512925464970229,2.8903717578961645
jmucdl,IDS,1.0,English,468.0,jmucdl:40027,eyetracking,noerror,0.0,1.1019400787607843,2.8903717578961645
bchdosu,TRAIN,-2.0,English,171.0,bchdosu:mb0051,singlescreen,noerror,0.0,1.012327920071097,1.5585655820603437
bllumanitoba,IDS,1.0,English,146.0,bllumanitoba:4392,hpp,error,0.0,1.7929254558680243,2.080565909341545
ethosrennes,ADS,8.0,french,256.0,ethosrennes:jm283,eyetracking,noerror,0.0,0.9439058989071284,1.9558604799084813
ethosrennes,ADS,5.0,french,155.0,ethosrennes:ve638,eyetracking,noerror,0.0,2.362739015813793,2.9069010598473755
babylabnijmegen,IDS,16.0,Dutch,217.0,babylabnijmegen:ba1869,hpp,noerror,0.0,2.344686269012681,7.186901020411631
kokuhamburg,IDS,10.0,German,384.0,kokuhamburg:mb07,eyetracking,noerror,0.0,1.8794650496471605,2.8903717578961645
ethosrennes,ADS,14.0,french,175.0,ethosrennes:jg503,eyetracking,noerror,0.0,0.8796267475025636,1.3270750014599193
ethosrennes,ADS,12.0,french,213.0,ethosrennes:cd611,eyetracking,noerror,0.0,0.6575200029167941,2.0347056478384444
infantlanglabutk,IDS,7.0,English,263.0,infantlanglabutk:mb1r81ms3,hpp,noerror,0.0,6.799055862058796,7.976595409316577
babylablmu,IDS,3.0,German,381.0,babylablmu:36,eyetracking,noerror,0.0,1.6193882432872684,9.801786997709788
